№;Название;Код;Цена;Что-то
138;Лензолото;LNZL;15300;5.94
139;Русолово;ROLO;0.7219;5.50
140;Телеграф;CNTL;14.82;5.50
141;КалужскСК;KLSB;18.1;5.07
142;ПермьЭнСб;PMSB;154.4;4.39
143;ЭсЭфАй ао;SFIN;502.4;4.33
144;ТНСэнВорон;VRSB;347;4.23
145;Куйбазот-п;KAZTP;664;4.17
146;Мегион-ап;MFGSP;274.5;4.11
147;Таттел. ао;TTLK;0.7155;4.01
148;Русгрэйн;RUGR;15.535;3.80
149;РГС СК ао;RGSS;0.2246;3.57
150;СтаврЭнСбп;STSBP;2.021;3.49
151;ДЭК ао;DVEC;1.597;3.43
152;Сахэнер ао;SLEN;4.085;3.34
153;КосогМЗ ао;KMTZ;225.5;3.17
154;HMSG-гдр;HMSG;185.5;3.01
155;Приморье;PRMB;37800;2.97
156;МордЭнСб;MRSB;0.551;2.93
157;Нижкамшина;NKSH;33.98;2.81
158;ЕвроЭлтех;EELT;12.46;2.73
159;VEON;VEON-RX;50.65;2.60
160;ГК РБК ао;RBCM;3.67;2.44
161;ТГК-2 ап;TGKBP;0.01101;2.34
162;ЗаводДИОД;DIOD;11.73;2.30
163;ПермьЭнС-п;PMSBP;156;2.19
164;НКХП ао;NKHP;398.5;2.19
165;Слав-ЯНОСп;JNOSP;13.9;2.15
166;БашИнСв ап;BISVP;11.35;1.91
167;РязЭнСб;RZSB;33.2;1.78
168;НЕФАЗ;NFAZ;363;1.71
169;ЯТЭК ао;YAKG;116.55;1.68
170;РоссЮг ао;MRKY;0.0488;1.67
171;Мегион-ао;MFGS;398.5;1.61
172;ЮУНК ао;UNKL;9650;1.60
173;ТамбЭнСб;TASB;1.199;1.58
174;ЧМК ао;CHMK;5980;1.56
175;Красэсб ао;KRSB;13.4;1.52
176;РсетСиб ао;MRKS;0.3855;1.49
177;СамарЭн-ао;SAGO;2.674;1.41
178;ДонскЗР;DZRD;3455;1.26
179;ТЗА ао;TUZA;172.5;1.26
180;РСетКубань;KUBE;142.6;1.26
181;СаратЭн-ао;SARE;0.221;1.18
182;ОМЗ-ап;OMZZP;10000;1.15
183;ТРК ап;TORSP;0.3745;1.13
184;Арсагера;ARSA;6.85;0.95
185;КСБ ао;KTSB;1.89;0.90
186;Россети СК;MRKK;17.04;0.88
187;ТНСэМаЭл-п;MISBP;42;0.88
188;СамарЭн-ап;SAGOP;2.72;0.87
189;МагадЭн ао;MAGE;5.63;0.87
190;КрасОкт-1п;KROTP;703;0.86
191;ТНСэнрг ао;TNSE;960;0.84
192;ЗВЕЗДА ао;ZVEZ;5.56;0.83
193;СаратЭн-ап;SAREP;0.1918;0.83
194;iНПОНаука;NAUK;340.2;0.82
195;ЗИЛ ао;ZILL;3380;0.82
196;ЛЭСК ао;LPSB;15.95;0.82
197;ВолгЭнСб;VGSB;6.44;0.76
198;ГазпРнД ао;RTGZ;29200;0.74
199;СтаврЭнСб;STSB;1.868;0.72
200;ЦМТ ап;WTCMP;7.98;0.67
201;ЦМТ ао;WTCM;10.72;0.65
202;ТНСэКубань;KBSB;256;0.62
203;ТНСэнРст-п;RTSBP;1.062;0.59
204;КМЗ;KMEZ;1283;0.59
205;КоршГОК ао;KOGK;46000;0.55
206;ИКРУСС-ИНВ;RUSI;61.4;0.55
207;Якутскэн-п;YKENP;0.3735;0.55
208;РН-ЗапСиб;CHGZ;46.4;0.52
209;ТКЗКК ап;KRKOP;16.72;0.51
210;Красэсб ап;KRSBP;13.6;0.49
211;РОСИНТЕРао;ROST;76.8;0.48
212;ВолгЭнСб-п;VGSBP;4.585;0.46
213;СаратНПЗ;KRKN;11300;0.46
214;КурганГКап;KGKCP;53;0.41
215;ПавлАвт ао;PAZA;7280;0.37
216;ТНСэнРст;RTSB;1.474;0.36
217;КамчатЭ ао;KCHE;0.2365;0.35
218;КСБ ап;KTSBP;0.7535;0.34
219;АстрЭнСб;ASSB;1.206;0.31
220;Электрцинк;ELTZ;404.5;0.30
221;Славн-ЯНОС;JNOS;24.95;0.29
222;iММЦБ ао;GEMA;931;0.29
223;БурЗолото;BRZL;1236;0.28
224;Якутскэнрг;YKEN;0.3725;0.27
225;ЧКПЗ ао;CHKZ;12800;0.26
226;ОКС ао;UCSS;910;0.25
227;ТамбЭнСб-п;TASBP;0.678;0.25
228;КурганГКао;KGKC;51;0.24
229;ТНСэнВор-п;VRSBP;96.6;0.24
230;ТРК ао;TORS;0.591;0.23
231;ТНСэнЯр-п;YRSBP;136.5;0.19
232;ТНСэнНН ао;NNSB;2705;0.19
233;Варьеган-п;VJGZP;726;0.19
234;ЮжКузб. ао;UKUZ;1476;0.18
235;МГТС-5ао;MGTS;1770;0.17
236;Варьеган;VJGZ;1815;0.17
237;ТНСэнМарЭл;MISB;35.2;0.17
238;УрКузница;URKZ;22500;0.16
239;ВыбСудЗ ап;VSYDP;6680;0.15
240;КамчатЭ ап;KCHEP;0.535;0.14
241;ВыбСудЗ ао;VSYD;6670;0.13
242;ТНСэнЯр;YRSB;362;0.12
243;МагадЭн ап;MAGEP;4.45;0.12
244;ТНСэнНН ап;NNSBP;940;0.11
245;АСКО ао;ACKO;;
246;ГАЗКОН-ао;GAZC;;
247;ГАЗ-сервис;GAZS;;
248;ГАЗ-Тек ао;GAZT;;
249;СМЗ-ао;MGNZ;;
