№;Название;Код;Цена;Что-то
137;Приморье;PRMB;38800;6.64
138;ПермьЭнСб;PMSB;155.5;6.52
139;Мегион-ап;MFGSP;270;5.82
140;Телеграф;CNTL;14.82;5.54
141;Куйбазот;KAZT;657.2;5.25
142;Русгрэйн;RUGR;15.15;5.17
143;ЭнергияРКК;RKKE;14110;5.06
144;Таттел. ао;TTLK;0.712;5.00
145;Лензолото;LNZL;15310;5.00
146;НКНХ ао;NKNC;111.3;4.99
147;Мостотрест;MSTT;219.35;4.76
148;МагадЭн ао;MAGE;5.57;4.67
149;iНаукаСвяз;NSVZ;255;4.64
150;ТГК-2 ап;TGKBP;0.01098;4.28
151;ЧЗПСН ао;PRFN;3.712;3.59
152;НЕФАЗ;NFAZ;370.5;3.56
153;Россети СК;MRKK;17.44;3.54
154;Левенгук;LVHK;22.43;3.53
155;КалужскСК;KLSB;18.02;3.42
156;ДЭК ао;DVEC;1.573;3.19
157;Красэсб ао;KRSB;13.66;3.15
158;ГАЗ ао;GAZA;872;3.08
159;Ижсталь ап;IGSTP;4008;2.74
160;ГАЗ ап;GAZAP;519;2.56
161;РГС СК ао;RGSS;0.2252;2.55
162;КрасОкт-1п;KROTP;719;2.54
163;РязЭнСб;RZSB;33.2;2.44
164;Ижсталь2ао;IGST;5074;2.35
165;ТНСэнрг ао;TNSE;1020;2.26
166;ЭсЭфАй ао;SFIN;501;2.25
167;РСетКубань;KUBE;142.5;2.18
168;КосогМЗ ао;KMTZ;226.5;2.10
169;ВыбСудЗ ап;VSYDP;6940;2.00
170;ПермьЭнС-п;PMSBP;156.4;1.98
171;ЯТЭК ао;YAKG;116.7;1.98
172;ТНСэнВорон;VRSB;346.8;1.97
173;Куйбазот-п;KAZTP;665.4;1.84
174;Сахэнер ао;SLEN;4.105;1.76
175;iММЦБ ао;GEMA;919;1.73
176;ГазпРнД ао;RTGZ;29600;1.65
177;РоссЮг ао;MRKY;0.0486;1.58
178;HMSG-гдр;HMSG;186.5;1.51
179;Слав-ЯНОСп;JNOSP;14.5;1.49
180;ТамбЭнСб;TASB;1.1945;1.36
181;ДонскЗР;DZRD;3310;1.36
182;БурЗолото;BRZL;1220;1.33
183;КМЗ;KMEZ;1271;1.32
184;ЧКПЗ ао;CHKZ;12650;1.31
185;Красэсб ап;KRSBP;13.4;1.26
186;СамарЭн-ап;SAGOP;2.692;1.26
187;ТЗА ао;TUZA;171;1.15
188;СтаврЭнСб;STSB;1.864;1.11
189;МагадЭн ап;MAGEP;4.52;1.11
190;ЮУНК ао;UNKL;9700;1.10
191;МГТС-5ао;MGTS;1755;1.10
192;Якутскэнрг;YKEN;0.372;1.09
193;ВолгЭнСб;VGSB;6.4;1.02
194;ВолгЭнСб-п;VGSBP;4.675;1.01
195;VEON;VEON-RX;50.75;0.98
196;ЧМК ао;CHMK;6005;0.96
197;БашИнСв ап;BISVP;11.22;0.95
198;ОМЗ-ап;OMZZP;9820;0.95
199;ГК РБК ао;RBCM;3.67;0.93
200;ТНСэнНН ао;NNSB;2695;0.92
201;Нижкамшина;NKSH;34.02;0.90
202;СамарЭн-ао;SAGO;2.666;0.86
203;ЗИЛ ао;ZILL;3360;0.84
204;РОСИНТЕРао;ROST;76.4;0.84
205;ТНСэнРст;RTSB;1.466;0.82
206;КурганГКап;KGKCP;53.8;0.77
207;ТНСэМаЭл-п;MISBP;42.6;0.73
208;ТНСэКубань;KBSB;255;0.71
209;ТНСэнЯр;YRSB;358;0.62
210;Славн-ЯНОС;JNOS;25.8;0.61
211;iНПОНаука;NAUK;338.6;0.57
212;Арсагера;ARSA;6.89;0.49
213;ТНСэнЯр-п;YRSBP;137;0.46
214;Электрцинк;ELTZ;401.5;0.44
215;ТРК ап;TORSP;0.3795;0.41
216;КамчатЭ ап;KCHEP;0.525;0.40
217;ТРК ао;TORS;0.583;0.38
218;ТамбЭнСб-п;TASBP;0.6715;0.37
219;ТНСэнВор-п;VRSBP;96.2;0.35
220;СаратНПЗ;KRKN;11300;0.34
221;ЗВЕЗДА ао;ZVEZ;5.585;0.32
222;КамчатЭ ао;KCHE;0.235;0.31
223;СаратЭн-ао;SARE;0.22;0.31
224;ЛЭСК ао;LPSB;16;0.31
225;ПавлАвт ао;PAZA;7220;0.30
226;ЮжКузб. ао;UKUZ;1472;0.30
227;СаратЭн-ап;SAREP;0.1916;0.28
228;КоршГОК ао;KOGK;45800;0.27
229;ВыбСудЗ ао;VSYD;6795;0.27
230;ТКЗКК ап;KRKOP;16.73;0.27
231;Мегион-ао;MFGS;400;0.25
232;ОКС ао;UCSS;920;0.24
233;ТНСэнРст-п;RTSBP;1.075;0.23
234;Якутскэн-п;YKENP;0.3685;0.19
235;ТНСэнНН ап;NNSBP;932;0.18
236;Варьеган-п;VJGZP;730;0.18
237;ТНСэнМарЭл;MISB;35.2;0.16
238;РН-ЗапСиб;CHGZ;46;0.16
239;АстрЭнСб;ASSB;1.196;0.14
240;УрКузница;URKZ;22550;0.14
241;КСБ ап;KTSBP;0.749;0.11
242;Варьеган;VJGZ;1825;0.10
243;КСБ ао;KTSB;1.876;0.09
244;КурганГКао;KGKC;50.8;0.08
245;АСКО ао;ACKO;;
246;ГАЗКОН-ао;GAZC;;
247;ГАЗ-сервис;GAZS;;
248;ГАЗ-Тек ао;GAZT;;
249;СМЗ-ао;MGNZ;;
